Starting
Starting
Creating Images
Images created
initial homography: 1 0 0 0 1 0 0 0 1 

ncc: 0.00112151
ncc: 0.000741331
ncc: 0.000330803
ncc: 6.8162e-05
ncc: 3.82893e-06
ncc: 3.38029e-07
ncc: 6.75284e-08
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.00162926
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 4.7649e-06
ncc: 0.000517457
ncc: 0.00132455
ncc: 0.00189271
ncc: 0.00229863
ncc: 0.00251769
ncc: 0.00221683
ncc: 0.00179362
ncc: 0.00146651
ncc: 0.00118819
ncc: 0.000945008
ncc: 0.000743072
ncc: 0.000564892
ncc: 0.000420078
ncc: 0.000284826
ncc: 0.000155115
ncc: 5.76041e-05
ncc: 9.4446e-06
ncc: 9.38519e-08
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.00136178
ncc: 0.00179627
ncc: 0.00178765
ncc: 0.00177916
ncc: 0.00177082
ncc: 0.00176258
ncc: 0.00175442
ncc: 0.00174635
ncc: 0.00173833
ncc: 0.00173036
ncc: 0.00172241
ncc: 0.00171114
ncc: 0.00170007
ncc: 0.00168915
ncc: 0.00167838
ncc: 0.00166773
ncc: 0.00165719
ncc: 0.00164675
ncc: 0.00163638
ncc: 0.00162609
ncc: 0.00161586
ncc: 0.00159944
ncc: 0.00158325
ncc: 0.00156725
ncc: 0.00155145
ncc: 0.00153581
ncc: 0.00152033
ncc: 0.00150501
ncc: 0.00148982
ncc: 0.00147476
ncc: 0.00145982
ncc: 0.00144177
ncc: 0.00142395
